Domain,Institution Name,Category,Description
rosreestr.gov.ru,Federal Service for State Registration,Federal Service,Real estate registration cadastre cartography spatial data infrastructure
rpn.gov.ru,Federal Service for Supervision of Natural Resources,Federal Service,Environmental supervision natural resource oversight pollution control
rosguard.gov.ru,Federal National Guard Service (Rosgvardiya),Security,Internal security force responsible for law enforcement counter-terrorism riot control and public order
fsin.gov.ru,Federal Penitentiary Service,Law Enforcement,Federal agency under Ministry of Justice responsible for correctional services and prison management
rosrezerv.gov.ru,Federal Agency for State Reserves,Emergency Services,Manages strategic national reserves of food and materials for emergency situations
gazprom.com,Gazprom,State Corporation,Russia's natural gas monopoly and largest energy company with world's largest natural gas reserves
rosneft.com,Rosneft,State Enterprise,Major integrated oil company engaged in exploration extraction production refining and sale of petroleum products
rosatom.ru,Rosatom,State Corporation,State Atomic Energy Corporation specializing in nuclear energy nuclear weapons complex and nuclear technologies
transneft.ru,Transneft,State Enterprise,World's largest oil pipeline company operating 70000+ km of trunk pipelines transporting 80% of Russian oil production
sberbank.com,Sberbank,State Enterprise,Russia's largest bank holding ~30% of banking sector assets majority owned by Russian National Wealth Fund
vtb.com,VTB Bank,State Enterprise,Russia's second-largest bank with 90%+ state ownership offering comprehensive financial services
gazprombank.ru,Gazprombank,State Enterprise,Third-largest Russian bank by assets key channel for Russian oil and gas payments
veb.ru,VEB.RF,State Corporation,State development corporation and investment bank Russia's main development finance institution
rostec.ru,Rostec,State Corporation,State corporation for high-tech industrial products encompassing 800+ enterprises in defense and civil sectors
uacrussia.ru,United Aircraft Corporation,State Enterprise,Aerospace and defense corporation consolidating Russian aircraft manufacturing
roscosmos.ru,Roscosmos,State Corporation,State Space Corporation responsible for Russian space program and international cooperation
rzd.ru,Russian Railways (RZD),State Enterprise,Fully state-owned vertically integrated railway company operating 85000+ km network
aeroflot.ru,Aeroflot,State Enterprise,Russia's flag carrier airline and largest carrier state-controlled through various government agencies
company.rt.ru,Rostelecom,State Enterprise,Russia's largest digital services provider and telecommunications operator 38%+ state-owned
msu.ru,Lomonosov Moscow State University,Federal University,Russia's oldest and most prestigious university (1755) leading institution with special federal funding status
spbu.ru,Saint Petersburg State University,Federal University,Russia's second most prestigious university (1724) has special autonomous status with direct federal funding
mipt.ru,Moscow Institute of Physics and Technology,Federal University,Known as "MIT of Russia" specializes in physics mathematics and applied sciences
mephi.ru,National Research Nuclear University MEPhI,Federal University,Russia's leading nuclear university specializes in nuclear physics atomic energy and information security
bmstu.ru,Bauman Moscow State Technical University,Federal University,Russia's oldest technical university (1830) excellence in engineering aerospace and defense technologies
hse.ru,Higher School of Economics,Federal University,Leading economics and social sciences university known for innovative educational programs
mgimo.ru,Moscow State Institute of International Relations,Federal University,Russia's premier diplomatic school under the Ministry of Foreign Affairs
ranepa.ru,Russian Presidential Academy,Federal Academy,Russia's largest socioeconomic university trains civil servants and public administrators
rudn.ru,Peoples' Friendship University of Russia,Federal University,International university serving over 28000 students from 155 countries worldwide
kpfu.ru,Kazan Federal University,Federal University,One of Russia's oldest universities (1804) main educational institution for the Volga Federal District
urfu.ru,Ural Federal University,Federal University,Major comprehensive university serving the Urals region
ras.ru,Russian Academy of Sciences,National Academy,Russia's highest scientific institution (1724) coordinates fundamental research nationwide
skoltech.ru,Skolkovo Institute of Science and Technology,Research Institute,International graduate research university founded in partnership with MIT
nrcki.ru,Kurchatov Institute,National Research Center,Russia's leading nuclear research institution conducts research in nuclear energy and nanotechnology
mos.ru,Moscow,Regional Government,Official portal of the Moscow Mayor and Moscow Government
mosreg.ru,Moscow Oblast,Regional Government,Regional administration of Moscow Oblast
avo.ru,Vladimir Oblast,Regional Government,Official website of the Vladimir Region Administration
admoblkaluga.ru,Kaluga Oblast,Regional Government,Portal of Kaluga Oblast government authorities
tula.ru,Tula Oblast,Regional Government,Official portal of Tula city administration
gov.spb.ru,Saint Petersburg,Regional Government,Official website of the Administration of Saint Petersburg
lenobl.ru,Leningrad Oblast,Regional Government,Government of Leningrad Oblast official portal
gov.karelia.ru,Republic of Karelia,Regional Government,Official portal of the Republic of Karelia government
dvinaland.ru,Arkhangelsk Oblast,Regional Government,Portal of Arkhangelsk Oblast Government
gov-murman.ru,Murmansk Oblast,Regional Government,Government of the Murmansk region official site
krasnodar.ru,Krasnodar Krai,Regional Government,Portal of the State's executives of the Krasnodar Region
rostov-gorod.ru,Rostov Oblast,Regional Government,Official portal for city administration
tatarstan.ru,Republic of Tatarstan,Regional Government,Integrated Portal of Government and Local Self-Government Authorities
glavarb.ru,Republic of Bashkortostan,Regional Government,Official website of the regional head and administration
eng.cap.ru,Chuvash Republic,Regional Government,Official bilingual government portal
saratov.gov.ru,Saratov Oblast,Regional Government,Complete official regional government portal
midural.ru,Sverdlovsk Oblast,Regional Government,Official government portal for Sverdlovsk Oblast with administrative center in Yekaterinburg
admtyumen.ru,Tyumen Oblast,Regional Government,Government portal for oil-rich Tyumen Oblast
kurganobl.ru,Kurgan Oblast,Regional Government,Official website for Kurgan Oblast government
admhmao.ru,Khanty-Mansi Autonomous Okrug,Regional Government,Government portal for oil-producing autonomous okrug within Tyumen Oblast
yanao.ru,Yamalo-Nenets Autonomous Okrug,Regional Government,Official government domain for gas-rich autonomous okrug producing ~90% of Russia's natural gas
nso.ru,Novosibirsk Oblast,Regional Government,Official government portal centered in Russia's third-largest city Novosibirsk
krskstate.ru,Krasnoyarsk Krai,Regional Government,Official government portal for Russia's second-largest federal subject by area
sakha.gov.ru,Republic of Sakha (Yakutia),Regional Government,Official information portal of Russia's largest federal subject by area
kamchatka.gov.ru,Kamchatka Krai,Regional Government,Strategic peninsula region with significant volcanic activity
khv.gov.ru,Khabarovsk Krai,Regional Government,Fourth-largest federal subject by area former administrative center of Far Eastern Federal District
xn--80atapud1a.xn--p1ai,Chukotka Autonomous Okrug,Regional Government,Russia's easternmost federal subject closest point to the United States
amur-gov.ru,Amur Oblast,Regional Government,Located along the Amur and Zeya rivers bordering China
egov-buryatia.ru,Republic of Buryatia,Regional Government,Located around Lake Baikal home to indigenous Buryat people
