Domain,Level of Government,Jurisdiction,Type/Description,Language
mpmg.mp.br,State,Minas Gerais,Public Ministry,Portuguese
rj.gov.br,State,Rio de Janeiro,Main state portal,Portuguese
fazenda.rj.gov.br,State,Rio de Janeiro,Secretary of Finance,Portuguese
saude.rj.gov.br,State,Rio de Janeiro,Secretary of Health,Portuguese
detran.rj.gov.br,State,Rio de Janeiro,Traffic Department,Portuguese
alerj.rj.gov.br,State,Rio de Janeiro,Legislative Assembly,Portuguese
tjrj.jus.br,State,Rio de Janeiro,Court of Justice,Portuguese
mprj.mp.br,State,Rio de Janeiro,Public Ministry,Portuguese
sp.gov.br,State,São Paulo,Main state portal,Portuguese
transparencia.sp.gov.br,State,São Paulo,Transparency portal,Portuguese
educacao.sp.gov.br,State,São Paulo,Secretary of Education,Portuguese
saude.sp.gov.br,State,São Paulo,Secretary of Health,Portuguese
fazenda.sp.gov.br,State,São Paulo,Secretary of Finance,Portuguese
parcerias.sp.gov.br,State,São Paulo,Investment partnerships portal,Bilingual
detran.sp.gov.br,State,São Paulo,Traffic Department,Portuguese
poupatempo.sp.gov.br,State,São Paulo,Citizen service centers,Portuguese
al.sp.gov.br,State,São Paulo,Legislative Assembly,Portuguese
tjsp.jus.br,State,São Paulo,Court of Justice,Portuguese
mpsp.mp.br,State,São Paulo,Public Ministry,Portuguese
parana.pr.gov.br,State,Paraná,Main state portal,Portuguese
transparencia.pr.gov.br,State,Paraná,Transparency portal,Portuguese
assembleia.pr.leg.br,State,Paraná,Legislative Assembly,Portuguese
tjpr.jus.br,State,Paraná,Court of Justice,Portuguese
mppr.mp.br,State,Paraná,Public Ministry,Portuguese
estado.rs.gov.br,State,Rio Grande do Sul,Main state portal,Portuguese
rs.gov.br,State,Rio Grande do Sul,Digital services portal,Portuguese
transparencia.rs.gov.br,State,Rio Grande do Sul,Transparency portal,Portuguese
al.rs.gov.br,State,Rio Grande do Sul,Legislative Assembly,Portuguese
tjrs.jus.br,State,Rio Grande do Sul,Court of Justice,Portuguese
mprs.mp.br,State,Rio Grande do Sul,Public Ministry,Portuguese
sc.gov.br,State,Santa Catarina,Main state portal,Portuguese
estado.sc.gov.br,State,Santa Catarina,Institutional portal,Portuguese
transparencia.sc.gov.br,State,Santa Catarina,Transparency portal,Portuguese
alesc.sc.gov.br,State,Santa Catarina,Legislative Assembly,Portuguese
tjsc.jus.br,State,Santa Catarina,Court of Justice,Portuguese
mpsc.mp.br,State,Santa Catarina,Public Ministry,Portuguese
prefeitura.sp.gov.br,Municipal,São Paulo,Main prefeitura website,Bilingual
saopaulo.sp.leg.br,Municipal,São Paulo,City Council,Portuguese
prefeitura.rio,Municipal,Rio de Janeiro,Main prefeitura website,Portuguese
carioca.rio,Municipal,Rio de Janeiro,Citizen services portal,Portuguese
camara.rio,Municipal,Rio de Janeiro,City Council,Portuguese
1746.rio,Municipal,Rio de Janeiro,Citizen services hotline,Portuguese
salvador.ba.gov.br,Municipal,Salvador,Main prefeitura website,Portuguese
cms.ba.gov.br,Municipal,Salvador,City Council,Portuguese
transparencia.salvador.ba.gov.br,Municipal,Salvador,Transparency portal,Portuguese
fortaleza.ce.gov.br,Municipal,Fortaleza,Main prefeitura website,Portuguese
fortalezadigital.fortaleza.ce.gov.br,Municipal,Fortaleza,Digital services portal,Portuguese
cmfor.ce.gov.br,Municipal,Fortaleza,City Council,Portuguese
prefeitura.pbh.gov.br,Municipal,Belo Horizonte,Main prefeitura website,Portuguese
cmbh.mg.gov.br,Municipal,Belo Horizonte,City Council,Portuguese
portalbelohorizonte.com.br,Municipal,Belo Horizonte,City promotion portal,Portuguese
manaus.am.gov.br,Municipal,Manaus,Main prefeitura website,Portuguese
manausatende.manaus.am.gov.br,Municipal,Manaus,Services portal,Portuguese
cmm.am.gov.br,Municipal,Manaus,City Council,Portuguese
transparencia.manaus.am.gov.br,Municipal,Manaus,Transparency portal,Portuguese
curitiba.pr.gov.br,Municipal,Curitiba,Main prefeitura website,Portuguese
curitiba.pr.leg.br,Municipal,Curitiba,City Council,Portuguese
www2.recife.pe.gov.br,Municipal,Recife,Main prefeitura website,Portuguese
recife.pe.leg.br,Municipal,Recife,City Council,Portuguese
transparencia.recife.pe.gov.br,Municipal,Recife,Transparency portal,Portuguese
prefeitura.poa.br,Municipal,Porto Alegre,Main prefeitura website,Portuguese
transparencia.portoalegre.rs.gov.br,Municipal,Porto Alegre,Transparency portal,Portuguese
goiania.go.gov.br,Municipal,Goiânia,Main prefeitura website,Portuguese
goiania.go.leg.br,Municipal,Goiânia,City Council,Portuguese
governo.belem.pa.gov.br,Municipal,Belém,Main prefeitura website,Portuguese
cmb.pa.gov.br,Municipal,Belém,City Council,Portuguese
guarulhos.sp.gov.br,Municipal,Guarulhos,Main prefeitura website,Portuguese
guarulhos.sp.leg.br,Municipal,Guarulhos,City Council,Portuguese
campinas.sp.gov.br,Municipal,Campinas,Main prefeitura website,Portuguese
campinas.sp.leg.br,Municipal,Campinas,City Council,Portuguese
saoluis.ma.gov.br,Municipal,São Luís,Main prefeitura website,Portuguese
camara.slz.br,Municipal,São Luís,City Council,Portuguese
maceio.al.gov.br,Municipal,Maceió,Main prefeitura website,Portuguese
maceio.al.leg.br,Municipal,Maceió,City Council,Portuguese
natal.rn.gov.br,Municipal,Natal,Main prefeitura website,Portuguese
cmnat.rn.gov.br,Municipal,Natal,City Council,Portuguese
campogrande.ms.gov.br,Municipal,Campo Grande,Main prefeitura website,Portuguese
camara.ms.gov.br,Municipal,Campo Grande,City Council,Portuguese
