Domain,Institution Name,Category,Description
ghconline.gov.in,Gauhati High Court,Judicial Institution,Northeast states jurisdiction
gujarathighcourt.nic.in,Gujarat High Court,Judicial Institution,Gujarat state jurisdiction
jkhighcourt.nic.in,J&K and Ladakh High Court,Judicial Institution,Jammu & Kashmir Ladakh jurisdiction
jharkhandhighcourt.nic.in,Jharkhand High Court,Judicial Institution,Jharkhand state jurisdiction
karnatakajudiciary.kar.nic.in,Karnataka High Court,Judicial Institution,Karnataka state jurisdiction
highcourt.kerala.gov.in,Kerala High Court,Judicial Institution,Kerala Lakshadweep jurisdiction
mphc.gov.in,Madhya Pradesh High Court,Judicial Institution,Madhya Pradesh jurisdiction
hcmadras.tn.nic.in,Madras High Court,Judicial Institution,Tamil Nadu Puducherry jurisdiction
orissahighcourt.nic.in,Orissa High Court,Judicial Institution,Odisha state jurisdiction
patnahighcourt.gov.in,Patna High Court,Judicial Institution,Bihar state jurisdiction
highcourtchd.gov.in,Punjab & Haryana High Court,Judicial Institution,Punjab Haryana Chandigarh jurisdiction
hcraj.nic.in,Rajasthan High Court,Judicial Institution,Rajasthan state jurisdiction
hcts.ac.in,Telangana High Court,Judicial Institution,Telangana state jurisdiction
nja.gov.in,National Judicial Academy,Judicial Institution,Judicial education and training institution
greentribunal.gov.in,National Green Tribunal,Judicial Institution,Environmental cases tribunal
sansad.in,Parliament of India,Parliamentary Institution,Digital portal for Indian Parliament
presidentofindia.gov.in,President of India,Constitutional Office,Head of state and supreme commander
vicepresidentofindia.nic.in,Vice President of India,Constitutional Office,Vice President and Rajya Sabha Chairman
eci.gov.in,Election Commission of India,Constitutional Body,Conducting free and fair elections
upsc.gov.in,Union Public Service Commission,Constitutional Body,Civil services recruitment examinations
cag.gov.in,Comptroller and Auditor General,Constitutional Body,Government accounts auditing authority
rbi.org.in,Reserve Bank of India,Regulatory Authority,Central banking and monetary policy
sebi.gov.in,Securities and Exchange Board,Regulatory Authority,Capital markets regulation
trai.gov.in,Telecom Regulatory Authority,Regulatory Authority,Telecommunications sector regulation
irdai.gov.in,Insurance Regulatory Authority,Regulatory Authority,Insurance sector regulation
fssai.gov.in,Food Safety Standards Authority,Regulatory Authority,Food safety and standards regulation
nhai.gov.in,National Highways Authority,Regulatory Authority,National highways development and management
aai.aero,Airports Authority of India,Regulatory Authority,Civil aviation infrastructure management
cbi.gov.in,Central Bureau of Investigation,Security Agency,Premier investigative agency for corruption and serious crimes
nia.gov.in,National Investigation Agency,Security Agency,Counter-terrorism investigation agency
enforcementdirectorate.gov.in,Enforcement Directorate,Security Agency,Financial crimes and money laundering investigation
bsf.gov.in,Border Security Force,Security Agency,India-Pakistan and India-Bangladesh border security
crpf.gov.in,Central Reserve Police Force,Security Agency,Internal security and counter-insurgency operations
cvc.gov.in,Central Vigilance Commission,National Commission,Anti-corruption vigilance institution
cic.gov.in,Central Information Commission,National Commission,Right to Information implementation
nhrc.nic.in,National Human Rights Commission,National Commission,Human rights protection and promotion
ncsc.nic.in,National Commission for Scheduled Castes,National Commission,Scheduled castes welfare and protection
ongcindia.com,Oil and Natural Gas Corporation,PSU,Largest crude oil and gas company
ntpc.co.in,NTPC Limited,PSU,Largest power generation company
sbi.co.in,State Bank of India,PSU,India's largest bank by assets
isro.gov.in,Indian Space Research Organisation,Government Agency,Space research and satellite technology
drdo.gov.in,Defence Research & Development,Government Agency,Defense technology development
dst.gov.in,Department of Science & Technology,Government Department,Science and technology policy and research
dae.gov.in,Department of Atomic Energy,Government Department,Nuclear energy research and development
iitb.ac.in,IIT Bombay,Educational Institution,Premier engineering institute ranked #1 in India
iitd.ac.in,IIT Delhi,Educational Institution,Leading technical institute established 1961
iitm.ac.in,IIT Madras,Educational Institution,Top engineering institution with overseas campus
iitkgp.ac.in,IIT Kharagpur,Educational Institution,First IIT established in 1951
iitk.ac.in,IIT Kanpur,Educational Institution,Excellence in engineering and science education
iitr.ac.in,IIT Roorkee,Educational Institution,Oldest technical institution in Asia (1847)
aiims.edu,AIIMS New Delhi,Educational Institution,Premier medical institute and research center
ugc.gov.in,University Grants Commission,Educational Institution,Higher education standards and coordination
