Domain,Institution Name,Category,Description
transnet.net,Transnet SOC Ltd,Transport SOE,Freight logistics operating rail ports and pipelines
flysaa.com,South African Airways,Aviation SOE,National flag carrier airline
prasa.com,Passenger Rail Agency of South Africa,Transport SOE,Passenger rail services including Metrorail
sanral.co.za,South African National Roads Agency,Infrastructure SOE,Management of national road network
airports.co.za,Airports Company South Africa,Transport SOE,Operates 9 principal airports
telkom.co.za,Telkom SA SOC Ltd,Telecommunications SOE,Leading telecommunications and ICT services provider
sabc.co.za,South African Broadcasting Corporation,Broadcasting SOE,Public broadcaster with 19 radio stations and 6 TV channels
denel.co.za,Denel SOC Ltd,Defence SOE,Aerospace and defence technology conglomerate
postoffice.co.za,South African Post Office,Postal SOE,National postal and financial services
idc.co.za,Industrial Development Corporation,Development Finance,National development finance institution
sars.gov.za,South African Revenue Service,Revenue Authority,Tax administration and customs services
resbank.co.za,South African Reserve Bank,Central Bank,Monetary policy and financial institution regulation
sassa.gov.za,South African Social Security Agency,Social Services,Administers social grants system
uct.ac.za,University of Cape Town,Traditional University,Africa's oldest university highest-ranked African university globally
wits.ac.za,University of the Witwatersrand,Traditional University,Renowned research university with 37295 students
sun.ac.za,University of Stellenbosch,Traditional University,Leading research output per academic staff in South Africa
up.ac.za,University of Pretoria,Traditional University,Multi-campus with only veterinary school in South Africa
ukzn.ac.za,University of KwaZulu-Natal,Traditional University,Five-campus university strong in African studies
nwu.ac.za,North-West University,Traditional University,Multi-campus focusing on African languages and culture
ufs.ac.za,University of the Free State,Traditional University,Research-led institution specializing in agricultural sciences
ru.ac.za,Rhodes University,Traditional University,Prestigious small university with high per-capita research output
ul.ac.za,University of Limpopo,Traditional University,Focus on rural development and African languages
uwc.ac.za,University of the Western Cape,Traditional University,Leading research university with community development focus
ufh.ac.za,University of Fort Hare,Traditional University,Historic Oxford of Africa founded 1916
cput.ac.za,Cape Peninsula University of Technology,University of Technology,Largest university in Western Cape
cut.ac.za,Central University of Technology,University of Technology,Focus on technology transfer and innovation
dut.ac.za,Durban University of Technology,University of Technology,Large technological university with multiple campuses
mut.ac.za,Mangosuthu University of Technology,University of Technology,Specialized in engineering and natural sciences
tut.ac.za,Tshwane University of Technology,University of Technology,Large multi-campus institution
vut.ac.za,Vaal University of Technology,University of Technology,Focus on technology and applied sciences
wsu.ac.za,Walter Sisulu University,University of Technology,Multi-campus serving rural Eastern Cape
uj.ac.za,University of Johannesburg,University of Technology,Large comprehensive contact university with 50000+ students
mandela.ac.za,Nelson Mandela University,University of Technology,Focus on African leadership and ocean sciences
unisa.ac.za,University of South Africa,Comprehensive University,World's largest distance learning university with 400000+ students
univen.ac.za,University of Venda,Comprehensive University,Focus on rural development and indigenous knowledge
unizulu.ac.za,University of Zululand,Comprehensive University,Rural-based with focus on African languages
spu.ac.za,Sol Plaatje University,Traditional University,First new university post-apartheid in Northern Cape
ump.ac.za,University of Mpumalanga,Traditional University,Focus on agriculture education health sciences
smu.ac.za,Sefako Makgatho Health Sciences University,Health Sciences University,Specialized health sciences university
che.ac.za,Council on Higher Education,Regulatory Body,Quality council for higher education
usaf.ac.za,Universities South Africa,Umbrella Body,Representative body for all 26 public universities
saqa.org.za,South African Qualifications Authority,Regulatory Body,Manages National Qualifications Framework
qcto.org.za,Quality Council for Trades and Occupations,Regulatory Body,Quality assurance for occupational qualifications
nsfas.org.za,National Student Financial Aid Scheme,Financial Aid,Government student financial aid scheme
fsca.co.za,Financial Sector Conduct Authority,Financial Regulator,Market conduct regulation of financial institutions
ncr.org.za,National Credit Regulator,Financial Regulator,Consumer credit market regulation
fic.gov.za,Financial Intelligence Centre,Financial Intelligence,Anti-money laundering and counter-terrorism financing
compcom.co.za,Competition Commission,Competition Regulator,Competition regulation and anti-trust enforcement
comptrib.co.za,Competition Tribunal,Competition Adjudication,Adjudicates competition matters
thencc.org.za,National Consumer Commission,Consumer Protection,Primary consumer protection regulator
icasa.org.za,Independent Communications Authority,Communications Regulator,Regulates telecommunications broadcasting postal services
fpb.org.za,Film and Publication Board,Content Regulator,Content classification and regulation
presscouncil.org.za,Press Council of South Africa,Media Ethics,Print and online media ethics enforcement
bccsa.co.za,Broadcasting Complaints Commission,Broadcasting Regulator,Enforces broadcasting codes of conduct
nersa.org.za,National Energy Regulator,Energy Regulator,Regulates electricity piped-gas petroleum pipelines
nnr.co.za,National Nuclear Regulator,Nuclear Regulator,Nuclear safety and radiation protection
petroleumagencysa.com,Petroleum Agency South Africa,Petroleum Regulator,Petroleum exploration and production regulation
sahpra.org.za,SA Health Products Regulatory Authority,Health Regulator,Regulates medicines medical devices diagnostics
hpcsa.co.za,Health Professions Council,Health Professions,Regulates 12 professional health boards
sanc.co.za,South African Nursing Council,Nursing Regulator,Nursing and midwifery professions regulation
cipc.co.za,Companies and Intellectual Property Commission,Business Regulator,Company registration and intellectual property
ngb.org.za,National Gambling Board,Gambling Regulator,Gambling industry oversight
nlcsa.org.za,National Lotteries Commission,Lottery Regulator,Regulates National Lottery and sports pools
inforegulator.org.za,Information Regulator,Data Protection,Information and data protection enforcement
siu.org.za,Special Investigating Unit,Anti-Corruption,Investigates corruption and malpractice in state institutions
bma.gov.za,Border Management Authority,Border Security,Integrated border law enforcement at 71 ports of entry
rtmc.co.za,Road Traffic Management Corporation,Traffic Safety,Road traffic management and safety coordination
psira.co.za,Private Security Industry Regulatory Authority,Security Regulation,Regulates private security industry
umgeni.co.za,uMngeni-uThukela Water,Water Board,Largest bulk water supplier in KwaZulu-Natal
magalieswater.co.za,Magalies Water Board,Water Board,Bulk water services to North West Province
amatolawater.co.za,Amatola Water Board,Water Board,Bulk water and sanitation for Eastern Cape
bloemwater.co.za,Bloem Water Board,Water Board,Bulk water services for Free State and Northern Cape
salga.org.za,South African Local Government Association,Support Organization,Represents all 257 municipalities nationally
demarcation.org.za,Municipal Demarcation Board,Constitutional Authority,Determines municipal boundaries and electoral wards
imatu.co.za,Independent Municipal and Allied Trade Union,Trade Union,Largest politically independent municipal sector union
