Domain,Level of Government,Jurisdiction,Type/Description
gnb.ca,Provincial,New Brunswick,Main government portal 
gov.nb.ca,Provincial,New Brunswick,Secondary government domain
snb.ca,Provincial,New Brunswick,Service New Brunswick 
gov.nl.ca,Provincial,Newfoundland and Labrador,Main government portal 
princeedwardisland.ca,Provincial,Prince Edward Island,Main government portal 
gov.pe.ca,Provincial,Prince Edward Island,Secondary government domain 
yukon.ca,Territorial,Yukon,Main government portal
open.yukon.ca,Territorial,Yukon,Open data portal
yukonassembly.ca,Territorial,Yukon,Legislative Assembly
gov.nt.ca,Territorial,Northwest Territories,Main government portal
hss.gov.nt.ca,Territorial,Northwest Territories,Health and Social Services
nthssa.ca,Territorial,Northwest Territories,Health Services Authority
immigratenwt.ca,Territorial,Northwest Territories,Immigration services
services.nwt-tno.ca,Territorial,Northwest Territories,Online services portal
ntlegislativeassembly.ca,Territorial,Northwest Territories,Legislative Assembly
gov.nu.ca,Territorial,Nunavut,Main government portal
assembly.nu.ca,Territorial,Nunavut,Legislative Assembly
nunavuttenders.ca,Territorial,Nunavut,Procurement system
buildingnunavut.com,Territorial,Nunavut,Community sustainability
public.govnu.ca,Territorial,Nunavut,Contract reporting
nupl.ca,Territorial,Nunavut,Public Library System
toronto.ca,Municipal,Toronto,City of Toronto
ottawa.ca,Municipal,Ottawa,City of Ottawa
mississauga.ca,Municipal,Mississauga,City of Mississauga
brampton.ca,Municipal,Brampton,City of Brampton
hamilton.ca,Municipal,Hamilton,City of Hamilton
london.ca,Municipal,London,City of London
markham.ca,Municipal,Markham,City of Markham
vaughan.ca,Municipal,Vaughan,City of Vaughan
kitchener.ca,Municipal,Kitchener,City of Kitchener
windsor.ca,Municipal,Windsor,City of Windsor
burlington.ca,Municipal,Burlington,City of Burlington 
oakville.ca,Municipal,Oakville,Town of Oakville 
oshawa.ca,Municipal,Oshawa,City of Oshawa 
barrie.ca,Municipal,Barrie,City of Barrie 
guelph.ca,Municipal,Guelph,City of Guelph 
cambridge.ca,Municipal,Cambridge,City of Cambridge 
waterloo.ca,Municipal,Waterloo,City of Waterloo 
ajax.ca,Municipal,Ajax,Town of Ajax
whitby.ca,Municipal,Whitby,Town of Whitby 
greatersudbury.ca,Municipal,Greater Sudbury,City of Greater Sudbury 
thunderbay.ca,Municipal,Thunder Bay,City of Thunder Bay 
cityofkingston.ca,Municipal,Kingston,City of Kingston 
citywindsor.ca,Municipal,Windsor,City of Windsor 
stcatharines.ca,Municipal,St. Catharines,City of St. Catharines 
niagarafalls.ca,Municipal,Niagara Falls,City of Niagara Falls 
peterborough.ca,Municipal,Peterborough,City of Peterborough 
montreal.ca/en,Municipal,Montreal,City of Montreal
ville.quebec.qc.ca/en,Municipal,Quebec City,City of Quebec
laval.ca/en,Municipal,Laval,City of Laval
gatineau.ca,Municipal,Gatineau,City of Gatineau
longueuil.quebec/en,Municipal,Longueuil,City of Longueuil
sherbrooke.ca/en,Municipal,Sherbrooke,City of Sherbrooke
v3r.net,Municipal,Trois-Rivières,Ville de Trois-Rivières 
ville.saguenay.ca,Municipal,Saguenay,Ville de Saguenay
ville.levis.qc.ca,Municipal,Lévis,Ville de Lévis
vancouver.ca,Municipal,Vancouver,City of Vancouver
surrey.ca,Municipal,Surrey,City of Surrey
burnaby.ca,Municipal,Burnaby,City of Burnaby
richmond.ca,Municipal,Richmond,City of Richmond 
victoria.ca,Municipal,Victoria,City of Victoria 
kelowna.ca,Municipal,Kelowna,City of Kelowna 
kamloops.ca,Municipal,Kamloops,City of Kamloops 
nanaimo.ca,Municipal,Nanaimo,City of Nanaimo 
abbotsford.ca,Municipal,Abbotsford,City of Abbotsford 
coquitlam.ca,Municipal,Coquitlam,City of Coquitlam 
langleycity.ca,Municipal,Langley City,City of Langley 
tol.ca,Municipal,Langley Township,Township of Langley 
delta.ca,Municipal,Delta,City of Delta 
newwestcity.ca,Municipal,New Westminster,City of New Westminster 
cnv.org,Municipal,North Vancouver City,City of North Vancouver
dnv.org,Municipal,North Vancouver District,District of North Vancouver
westvancouver.ca,Municipal,West Vancouver,District of West Vancouver
portcoquitlam.ca,Municipal,Port Coquitlam,City of Port Coquitlam 
calgary.ca,Municipal,Calgary,City of Calgary
edmonton.ca,Municipal,Edmonton,City of Edmonton
reddeer.ca,Municipal,Red Deer,City of Red Deer
lethbridge.ca,Municipal,Lethbridge,City of Lethbridge 
medicinehat.ca,Municipal,Medicine Hat,City of Medicine Hat 
rmwb.ca,Municipal,Wood Buffalo,Regional Municipality of Wood Buffalo 
airdrie.ca,Municipal,Airdrie,City of Airdrie 
stalbert.ca,Municipal,St. Albert,City of St. Albert 
cityofgp.com,Municipal,Grande Prairie,City of Grande Prairie 
sprucegrove.org,Municipal,Spruce Grove,City of Spruce Grove 
strathcona.ca,Municipal,Strathcona County,Strathcona County 
winnipeg.ca, Municipal,Winnipeg,City of Winnipeg
brandon.ca, Municipal,Brandon,City of Brandon
steinbach.ca, Municipal,Steinbach,City of Steinbach
thompson.ca,Municipal,Thompson,City of Thompson
saskatoon.ca,Municipal,Saskatoon,City of Saskatoon
regina.ca,Municipal,Regina,City of Regina
citypa.ca,Municipal,Prince Albert,City of Prince Albert
moosejaw.ca,Municipal,Moose Jaw,City of Moose Jaw
halifax.ca,Municipal,Halifax,Halifax Regional Municipality 
fredericton.ca,Municipal,Fredericton,City of Fredericton 
moncton.ca,Municipal,Moncton,City of Moncton 
saintjohn.ca,Municipal,Saint John,City of Saint John
stjohns.ca,Municipal,St. John's,City of St. John's
charlottetown.ca,Municipal,Charlottetown,City of Charlottetown
whitehorse.ca,Municipal,Whitehorse,City of Whitehorse
yellowknife.ca,Municipal,Yellowknife,City of Yellowknife
iqaluit.ca,Municipal,Iqaluit,City of Iqaluit
